SimulationSecond,ReceiveRate,PacketsReceived,Average End to End,Package Delivery Ratio,NumberOfSinks,RoutingProtocol,TransmissionPower
220,6.144,12,0.00745728,0.3,10,AODV,7.5
221,9.728,19,0.00535753,0.475,10,AODV,7.5
222,13.824,27,0.00637855,0.675,10,AODV,7.5
223,6.656,13,0.0079893,0.325,10,AODV,7.5
224,9.216,18,0.0126337,0.45,10,AODV,7.5
225,8.704,17,0.00687706,0.425,10,AODV,7.5
226,5.632,11,0.0159722,0.275,10,AODV,7.5
227,7.68,15,0.000571029,0.375,10,AODV,7.5
228,5.632,11,0.00905149,0.275,10,AODV,7.5
229,7.168,14,0.00082682,0.35,10,AODV,7.5
230,20.48,40,0.0166114,1,10,AODV,7.5
231,8.192,16,0.016838,0.4,10,AODV,7.5
232,9.728,19,0.0111637,0.475,10,AODV,7.5
233,8.192,16,0.0149047,0.4,10,AODV,7.5
234,9.728,19,0.0108386,0.475,10,AODV,7.5
235,9.216,18,0.0292744,0.45,10,AODV,7.5
236,10.752,21,0.00350225,0.525,10,AODV,7.5
237,11.264,22,0.00316923,0.55,10,AODV,7.5
238,13.824,27,0.000650261,0.675,10,AODV,7.5
239,11.776,23,0.0007432,0.575,10,AODV,7.5
240,10.752,21,0.00111465,0.525,10,AODV,7.5
241,8.192,16,0.00611393,0.4,10,AODV,7.5
242,6.656,13,0.0150608,0.325,10,AODV,7.5
243,7.168,14,0.00837532,0.35,10,AODV,7.5
244,6.656,13,0.0100191,0.325,10,AODV,7.5
245,9.728,19,0.0170239,0.475,10,AODV,7.5
246,9.216,18,0.00703338,0.45,10,AODV,7.5
247,8.704,17,0.00161187,0.425,10,AODV,7.5
248,10.752,21,0.00142522,0.525,10,AODV,7.5
249,9.728,19,0.00984249,0.475,10,AODV,7.5
